,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
256,2022-04-16 16:33:59+00:00,S2,503.6774418682762,421.628495786884,449.6860413295132,518.6329213067797,513.9607419849998,586.2598062844132,569.8856321146845,542.6881579531682,514.4007286456169,517.4800059991023
257,2022-04-19 16:15:58+00:00,L8,526.5788658703177,428.95274544611914,455.510617426969,533.1281151730622,527.6360256938867,595.9455222108622,579.6548103442113,552.7275029638962,526.5554775060757,528.5998573432882
258,2022-04-27 16:15:53+00:00,L9,489.46232142045926,413.54689038260426,444.0495425306324,508.2288240648,504.14744483971555,572.7118803806707,564.9912716449196,535.1700858063354,510.3593130246591,510.0167125647772
259,2022-05-05 16:15:59+00:00,L8,487.25632378574954,424.1607588221625,445.8358036613676,504.7847051031721,503.7456456863402,574.823531982111,563.3691633818551,534.5486343456786,508.67174347775637,511.8389963109116
260,2022-05-21 16:16:05+00:00,L8,480.2188604584116,415.6059248884606,443.23163673295204,513.5380112085824,497.7952745170308,570.4898329423118,548.0748568130966,516.1468505365275,507.7846162056164,500.6680677430442
261,2022-05-21 16:33:55+00:00,S2,490.9973199914456,423.93476709934896,451.5705050605013,518.3868484981463,506.05438114773256,577.8024545322814,563.6233371100001,525.5036915054307,515.210661317699,505.4551956339607
262,2022-10-18 16:33:55+00:00,S2,456.8214571758619,435.6849162967492,446.56165098480676,505.8068258087061,495.92900967694845,579.1235802098448,553.3515068326869,530.4411150605181,505.9077753374398,506.4606719639554
263,2022-11-07 16:33:54+00:00,S2,470.03059504778406,440.9795266816804,453.9596303104977,519.1861829039004,503.53274978640616,586.36402262556,567.1307036054567,540.4081252334503,515.0640782109182,514.9574130691298
264,2022-11-22 16:33:55+00:00,S2,,,,505.1372993445597,506.2983726101484,,,,524.2124635369833,506.11963565711557
265,2023-01-08 16:16:35+00:00,L9,491.1376179055643,436.7873632140394,448.4384681658971,534.8244464230271,524.6263395803974,575.7525040353241,572.134065783818,556.0943436819568,536.0137036551378,523.2717914937771
266,2023-01-11 16:33:53+00:00,S2,498.3951325864393,440.0538806458144,451.01463206361814,527.8259400547317,516.5231348874016,578.7381596629783,575.8192963160435,554.7132392317347,539.5932957967229,522.2519558069332
267,2023-01-21 16:33:51+00:00,S2,494.14578032906877,432.000756665876,446.12842013538847,527.0028614046638,512.3817499410467,577.4811247374566,574.7796052709577,552.3229396378233,533.950475575876,514.5134621681486
268,2023-01-26 16:33:53+00:00,S2,512.2162058524372,436.519933194509,451.71501082881485,542.6826469630108,527.8399540330489,582.1332025707691,,,,530.0435805244266
269,2023-02-05 16:33:53+00:00,S2,506.7321318562654,438.5748733361954,449.48640756082915,537.2994600689416,521.8090965386227,582.8673392784772,579.2738902842002,557.2301507901473,539.696880747572,522.9976539776036
270,2023-02-09 16:16:39+00:00,L9,494.836983530154,431.5464380550038,441.8990027422901,539.4555240362679,512.2474833807137,575.565180747654,575.8181355292149,554.84797615823,550.9636186160117,516.0924780499122
271,2023-02-10 16:33:54+00:00,S2,504.0189369682228,431.8353714055216,446.1092939582141,537.847763970807,516.1913028107156,579.9456982089052,574.679491375934,557.2228277046877,545.087091905482,519.4564641511765
272,2023-02-15 16:33:54+00:00,S2,486.55244708965625,,442.5430154032452,515.4548105076312,498.800813447442,576.1075197124496,,,521.1705461840882,505.1934702915999
273,2023-02-17 16:16:22+00:00,L8,485.89806280485885,425.50010153476063,442.5180811921716,517.9932308500848,499.17112834781534,573.3296389994537,559.9598378902456,537.682618053834,524.14450337954,505.3635918971843
274,2023-02-25 16:16:24+00:00,L9,489.93333169123395,417.65066633739895,443.5974136333186,527.6322653718283,501.7317661898298,571.5485185423568,565.5835930525182,538.7695464006043,523.8200529892256,508.1936152168651
275,2023-02-25 16:33:56+00:00,S2,498.5447028424806,422.53837928163614,450.4516506550131,526.2701035286087,514.7934608474498,576.2774185987464,569.0815778202793,548.5088501658769,532.455723705107,513.4005726342857
276,2023-03-02 16:33:52+00:00,S2,481.75475429296273,414.3062995765987,443.64892542999365,511.8387825489109,500.1320617608684,571.9610947281153,560.0745835177956,533.6102165076101,515.4486519323029,504.33642139480577
277,2023-03-12 16:33:52+00:00,S2,492.80287605250106,421.8005744798363,458.2039418327065,528.9175161895662,520.8437914789397,584.1226894741004,576.610742433311,551.3876611330223,537.3714891956149,512.907332590746
278,2023-03-13 16:16:17+00:00,L9,484.82151129830777,413.69869856980415,449.6987189753789,519.4219733653314,512.9521133026744,573.426907516588,571.991705771117,537.9746045158366,525.1166732247655,509.158244945618
279,2023-03-17 16:33:59+00:00,S2,477.92993614116676,412.9551108593593,446.8207040441427,513.1994442103978,504.5591130977965,570.3004497676599,562.4367834304232,535.947073238936,519.9713596979188,506.06016564465267
280,2023-03-21 16:16:01+00:00,L8,491.44166474731793,417.83136478700123,456.01829433580815,523.7569447673284,530.4219396556381,577.294752736393,576.5893611426186,551.3778233241643,526.7770323206453,525.7788413994003
281,2023-03-22 16:33:54+00:00,S2,500.88228589241197,426.1456791933558,460.80925356096117,534.8514638769556,544.8897379922403,586.7095267494597,581.9598775749932,557.1280234196082,535.139495596628,529.9247722554777
282,2023-04-01 16:33:54+00:00,S2,481.2416573311239,406.4162466880581,450.2720959417861,508.9568075705802,514.0290412430674,575.132219057334,566.5258000612919,536.7457938655697,513.0641230951788,505.8739904265016
283,2023-04-11 16:33:56+00:00,S2,483.79893882415996,414.04842875716224,463.61794202714464,521.0307053901137,525.7566698962803,574.8489128861224,571.5179258209562,543.869058137453,517.6841097185927,517.6031113379653
284,2023-04-14 16:15:59+00:00,L9,467.32770614042295,396.88968811802107,447.39197214420074,509.7262111745879,510.69572974511937,574.3736599658482,564.0783986958227,536.3110243122015,508.26831390279096,505.4101897026554
285,2023-04-26 16:33:57+00:00,S2,490.9046673737321,414.50305078073256,456.94836893078053,518.8457465335808,520.2402603484908,580.1813418825024,569.8348230649103,538.7719037738184,516.5293448669498,513.8588821773941
286,2023-04-30 16:15:52+00:00,L9,487.85021103801233,396.88890549224357,443.49331254038447,504.09708755734033,508.3044727683767,573.4378598859372,563.4278199307015,527.3323796181224,507.89585772129027,504.8147900462081
287,2023-05-01 16:33:56+00:00,S2,486.1223286222227,407.486274447681,448.49842320644484,506.9279400994152,509.32523997849637,574.3580951155064,566.2382445796387,530.5423019582911,510.700523672934,505.76412464814115
288,2023-05-24 16:15:27+00:00,L8,477.68019299353506,417.17732594390486,443.0873860589951,506.490469515656,497.48358276377553,574.640771688856,558.2636388856571,533.5762737567337,504.71923574955883,506.8685038635501
289,2023-06-25 16:15:40+00:00,L8,,404.0660124815274,,,,568.2318343121674,552.6856658176356,515.4459016300127,507.3367266192282,
290,2023-07-05 16:34:01+00:00,S2,467.3658021222449,430.0703488360142,445.310134335527,506.41032397347095,491.0380926400895,577.9746676737187,561.5184741161275,523.6212461950358,509.92686302842174,501.5747537590327
291,2023-09-08 16:34:01+00:00,S2,823.6436489564621,,,497.209290921984,804.622953722435,571.0210310179558,547.9396848788001,511.6198389900308,494.96111187945564,492.19899986502577
292,2023-09-18 16:33:58+00:00,S2,457.6662453091119,,446.3976498656656,508.2977176760915,511.5015005515214,,,392.9378456064624,503.46442967792893,499.1283095228529
293,2023-11-07 16:33:55+00:00,S2,451.7565332495765,404.0043050599353,435.40457517729465,356.26285269452904,486.9911306843884,,,,,
